Masking Type best accuracy count
Swing parameters: Quantization Mode - Mask - Correcting Range
Total cases:716	 Non significant cases:323
	Masking type: SIMPLE_MASK	 Winning count: 4
	Masking type: ROUND_DOWN	 Winning count: 24
	Masking type: ROUND_UP	 Winning count: 96
	Masking type: MOD_ROUND_UP	 Winning count: 290
	Masking type: MINIMUM_DISTANCE	 Winning count: 81


Quantization Type best accuracy count
Swing parameters: Masking Mode - Mask - Correcting Range
Total cases:980	 Non significant cases:613
\Quantization type: SYMMETRIC	 Winning count: 90
\Quantization type: ASYMMETRIC_UNSIGNED	 Winning count: 273
\Quantization type: ASYMMETRIC_SIGNED	 Winning count: 273


Correction policy best accuracy count
Swing parameters: Quantization Mode - Masking Mode - Mask
Total cases:1790	 Non significant cases:1115
	Correct: Correct	 Winning count: 310
	Correct: NotCorrect	 Winning count: 365


Mask for energy class 1 best accuracy count
Swing parameters: Quantization Mode - Masking Mode - Range correct
Total cases:30	 Non significant cases:0
	Correct: 01000000	 Winning count: 0
	Correct: 00100000	 Winning count: 0
	Correct: 00010000	 Winning count: 0
	Correct: 00001000	 Winning count: 0
	Correct: 00000100	 Winning count: 0
	Correct: 00000010	 Winning count: 0
	Correct: 00000001	 Winning count: 30


Mask for energy class 2 best accuracy count
Swing parameters: Quantization Mode - Masking Mode - Range correct
Total cases:30	 Non significant cases:0
	Correct: 01100000	 Winning count: 0
	Correct: 01010000	 Winning count: 0
	Correct: 01001000	 Winning count: 0
	Correct: 01000100	 Winning count: 0
	Correct: 01000010	 Winning count: 0
	Correct: 01000001	 Winning count: 0
	Correct: 00110000	 Winning count: 0
	Correct: 00101000	 Winning count: 0
	Correct: 00100100	 Winning count: 0
	Correct: 00100010	 Winning count: 0
	Correct: 00100001	 Winning count: 0
	Correct: 00011000	 Winning count: 0
	Correct: 00010100	 Winning count: 0
	Correct: 00010010	 Winning count: 0
	Correct: 00010001	 Winning count: 0
	Correct: 00001100	 Winning count: 0
	Correct: 00001010	 Winning count: 0
	Correct: 00001001	 Winning count: 0
	Correct: 00000110	 Winning count: 0
	Correct: 00000101	 Winning count: 0
	Correct: 00000011	 Winning count: 30


Mask for energy class 3 best accuracy count
Swing parameters: Quantization Mode - Masking Mode - Range correct
Total cases:30	 Non significant cases:0
	Correct: 01110000	 Winning count: 0
	Correct: 01101000	 Winning count: 0
	Correct: 01100100	 Winning count: 0
	Correct: 01100010	 Winning count: 0
	Correct: 01100001	 Winning count: 0
	Correct: 01011000	 Winning count: 0
	Correct: 01010100	 Winning count: 0
	Correct: 01010010	 Winning count: 0
	Correct: 01010001	 Winning count: 0
	Correct: 01001100	 Winning count: 0
	Correct: 01001010	 Winning count: 0
	Correct: 01001001	 Winning count: 0
	Correct: 01000110	 Winning count: 0
	Correct: 01000101	 Winning count: 0
	Correct: 01000011	 Winning count: 0
	Correct: 00111000	 Winning count: 0
	Correct: 00110100	 Winning count: 0
	Correct: 00110010	 Winning count: 0
	Correct: 00110001	 Winning count: 0
	Correct: 00101100	 Winning count: 0
	Correct: 00101010	 Winning count: 0
	Correct: 00101001	 Winning count: 0
	Correct: 00100110	 Winning count: 0
	Correct: 00100101	 Winning count: 0
	Correct: 00100011	 Winning count: 0
	Correct: 00011100	 Winning count: 0
	Correct: 00011010	 Winning count: 0
	Correct: 00011001	 Winning count: 0
	Correct: 00010110	 Winning count: 0
	Correct: 00010101	 Winning count: 0
	Correct: 00010011	 Winning count: 0
	Correct: 00001110	 Winning count: 0
	Correct: 00001101	 Winning count: 0
	Correct: 00001011	 Winning count: 1
	Correct: 00000111	 Winning count: 29


Mask for energy class 4 best accuracy count
Swing parameters: Quantization Mode - Masking Mode - Range correct
Total cases:30	 Non significant cases:10
	Correct: 01111000	 Winning count: 0
	Correct: 01110100	 Winning count: 0
	Correct: 01110010	 Winning count: 0
	Correct: 01110001	 Winning count: 0
	Correct: 01101100	 Winning count: 0
	Correct: 01101010	 Winning count: 0
	Correct: 01101001	 Winning count: 2
	Correct: 01100110	 Winning count: 0
	Correct: 01100101	 Winning count: 0
	Correct: 01100011	 Winning count: 0
	Correct: 01011100	 Winning count: 0
	Correct: 01011010	 Winning count: 0
	Correct: 01011001	 Winning count: 0
	Correct: 01010110	 Winning count: 0
	Correct: 01010101	 Winning count: 0
	Correct: 01010011	 Winning count: 1
	Correct: 01001110	 Winning count: 0
	Correct: 01001101	 Winning count: 0
	Correct: 01001011	 Winning count: 0
	Correct: 01000111	 Winning count: 2
	Correct: 00111100	 Winning count: 0
	Correct: 00111010	 Winning count: 0
	Correct: 00111001	 Winning count: 0
	Correct: 00110110	 Winning count: 0
	Correct: 00110101	 Winning count: 0
	Correct: 00110011	 Winning count: 0
	Correct: 00101110	 Winning count: 0
	Correct: 00101101	 Winning count: 0
	Correct: 00101011	 Winning count: 0
	Correct: 00100111	 Winning count: 1
	Correct: 00011110	 Winning count: 0
	Correct: 00011101	 Winning count: 0
	Correct: 00011011	 Winning count: 0
	Correct: 00010111	 Winning count: 0
	Correct: 00001111	 Winning count: 14


