QUANT_MODE parameter analysis 
Swing parameters: mask_type - mask - correctRange 
Total cases: 980	 Total accuracy = sum[for i in range(Total cases)](accuracy_i) - Min
	Masking type: SYMMETRIC	 Winning count: 93	 Total accuracy: 1.075 (Min: 102.334)
	Masking type: ASYMMETRIC_UNSIGNED	 Winning count: 66	 Total accuracy: 0.009 (Min: 102.334)
	Masking type: ASYMMETRIC_SIGNED	 Winning count: 52	 Total accuracy: 0.000 (Min: 102.334)


MASK_TYPE parameter analysis 
Swing parameters: quant_mode - mask - correctRange 
Total cases: 588	 Total accuracy = sum[for i in range(Total cases)](accuracy_i) - Min
	Masking type: SIMPLE_MASK	 Winning count: 31	 Total accuracy: 0.000 (Min: 59.372)
	Masking type: ROUND_DOWN	 Winning count: 76	 Total accuracy: 0.185 (Min: 59.372)
	Masking type: ROUND_UP	 Winning count: 27	 Total accuracy: 2.079 (Min: 59.372)
	Masking type: MOD_ROUND_UP	 Winning count: 47	 Total accuracy: 4.633 (Min: 59.372)
	Masking type: MINIMUM_DISTANCE	 Winning count: 55	 Total accuracy: 4.330 (Min: 59.372)


MASK parameter analysis 
Swing parameters: quant_mode - mask_type - correctRange 
Total cases: 30	 Total accuracy = sum[for i in range(Total cases)](accuracy_i) - Min
	Masking type: 01111000	 Winning count: 0	 Total accuracy: 0.126 (Min: 2.876)
	Masking type: 01110100	 Winning count: 0	 Total accuracy: 0.125 (Min: 2.876)
	Masking type: 01110010	 Winning count: 0	 Total accuracy: 0.125 (Min: 2.876)
	Masking type: 01110001	 Winning count: 0	 Total accuracy: 0.114 (Min: 2.876)
	Masking type: 01110000	 Winning count: 0	 Total accuracy: 0.123 (Min: 2.876)
	Masking type: 01101100	 Winning count: 0	 Total accuracy: 0.130 (Min: 2.876)
	Masking type: 01101010	 Winning count: 0	 Total accuracy: 0.126 (Min: 2.876)
	Masking type: 01101001	 Winning count: 0	 Total accuracy: 0.125 (Min: 2.876)
	Masking type: 01101000	 Winning count: 0	 Total accuracy: 0.121 (Min: 2.876)
	Masking type: 01100110	 Winning count: 0	 Total accuracy: 0.126 (Min: 2.876)
	Masking type: 01100101	 Winning count: 0	 Total accuracy: 0.125 (Min: 2.876)
	Masking type: 01100100	 Winning count: 0	 Total accuracy: 0.123 (Min: 2.876)
	Masking type: 01100011	 Winning count: 0	 Total accuracy: 0.116 (Min: 2.876)
	Masking type: 01100010	 Winning count: 0	 Total accuracy: 0.118 (Min: 2.876)
	Masking type: 01100001	 Winning count: 0	 Total accuracy: 0.120 (Min: 2.876)
	Masking type: 01100000	 Winning count: 0	 Total accuracy: 0.123 (Min: 2.876)
	Masking type: 01011100	 Winning count: 0	 Total accuracy: 0.119 (Min: 2.876)
	Masking type: 01011010	 Winning count: 0	 Total accuracy: 0.121 (Min: 2.876)
	Masking type: 01011001	 Winning count: 0	 Total accuracy: 0.126 (Min: 2.876)
	Masking type: 01011000	 Winning count: 0	 Total accuracy: 0.125 (Min: 2.876)
	Masking type: 01010110	 Winning count: 0	 Total accuracy: 0.122 (Min: 2.876)
	Masking type: 01010101	 Winning count: 0	 Total accuracy: 0.122 (Min: 2.876)
	Masking type: 01010100	 Winning count: 0	 Total accuracy: 0.122 (Min: 2.876)
	Masking type: 01010011	 Winning count: 0	 Total accuracy: 0.122 (Min: 2.876)
