QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01111000	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01111000	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110100	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110100	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110010	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110010	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110001	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110001	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110000	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110000	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101100	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101100	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101010	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101010	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101001	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101001	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101000	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101000	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100110	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100110	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100101	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100101	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100100	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100100	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100011	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100011	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100010	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100010	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100001	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100001	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100000	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100000	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01011100	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01011100	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01011010	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01011010	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01011001	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01011001	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01011000	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01011000	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01010110	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01010110	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01010101	 RangeCorrection:False	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01010101	 RangeCorrection:True	 Correct: 1000	 Accuracy: 0.1
