Reference accuracy = 9240
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00000001
	BaseLine accuracy = 	8327
	RangeCorrect accuracy = 	8253
	Unmasking layers accuracy = 	8610
	CompensatedBias accuracy = 	8516
	LayerUnmasked+CompensatedBias accuracy = 	8796
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00000010
	BaseLine accuracy = 	4238
	RangeCorrect accuracy = 	4104
	Unmasking layers accuracy = 	4894
	CompensatedBias accuracy = 	3772
	LayerUnmasked+CompensatedBias accuracy = 	6890
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00000011
	BaseLine accuracy = 	1367
	RangeCorrect accuracy = 	1314
	Unmasking layers accuracy = 	1187
	CompensatedBias accuracy = 	1160
	LayerUnmasked+CompensatedBias accuracy = 	2805
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00000100
	BaseLine accuracy = 	1083
	RangeCorrect accuracy = 	1102
	Unmasking layers accuracy = 	1006
	CompensatedBias accuracy = 	1051
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1117
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00000101
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1000
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	999
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00000110
	BaseLine accuracy = 	954
	RangeCorrect accuracy = 	955
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	910
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00000111
	BaseLine accuracy = 	938
	RangeCorrect accuracy = 	945
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	886
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00001000
	BaseLine accuracy = 	932
	RangeCorrect accuracy = 	937
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	931
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00001001
	BaseLine accuracy = 	935
	RangeCorrect accuracy = 	931
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	952
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00001010
	BaseLine accuracy = 	943
	RangeCorrect accuracy = 	943
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	966
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00001011
	BaseLine accuracy = 	953
	RangeCorrect accuracy = 	942
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	970
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00001100
	BaseLine accuracy = 	991
	RangeCorrect accuracy = 	936
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	978
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00001101
	BaseLine accuracy = 	1028
	RangeCorrect accuracy = 	1026
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1028
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00001110
	BaseLine accuracy = 	1078
	RangeCorrect accuracy = 	1034
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1042
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00001111
	BaseLine accuracy = 	1062
	RangeCorrect accuracy = 	1084
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1033
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010000
	BaseLine accuracy = 	1159
	RangeCorrect accuracy = 	1072
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1029
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010001
	BaseLine accuracy = 	1065
	RangeCorrect accuracy = 	1069
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1027
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010010
	BaseLine accuracy = 	1063
	RangeCorrect accuracy = 	1089
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1025
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010011
	BaseLine accuracy = 	1060
	RangeCorrect accuracy = 	1115
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1014
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010100
	BaseLine accuracy = 	1052
	RangeCorrect accuracy = 	1027
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1013
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010101
	BaseLine accuracy = 	1043
	RangeCorrect accuracy = 	1056
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1009
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010110
	BaseLine accuracy = 	1015
	RangeCorrect accuracy = 	924
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1006
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 00010111
	BaseLine accuracy = 	1012
	RangeCorrect accuracy = 	971
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1005
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_DOWN	 Mask: 00000001
	BaseLine accuracy = 	8327
	RangeCorrect accuracy = 	8253
	Unmasking layers accuracy = 	8610
	CompensatedBias accuracy = 	8516
	LayerUnmasked+CompensatedBias accuracy = 	8796
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_DOWN	 Mask: 00000010
	BaseLine accuracy = 	6456
	RangeCorrect accuracy = 	6374
	Unmasking layers accuracy = 	7338
	CompensatedBias accuracy = 	6532
	LayerUnmasked+CompensatedBias accuracy = 	8093
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_DOWN	 Mask: 00000011
	BaseLine accuracy = 	1367
	RangeCorrect accuracy = 	1314
	Unmasking layers accuracy = 	1187
	CompensatedBias accuracy = 	1160
	LayerUnmasked+CompensatedBias accuracy = 	2805
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_DOWN	 Mask: 00000100
	BaseLine accuracy = 	2385
	RangeCorrect accuracy = 	2335
	Unmasking layers accuracy = 	2470
	CompensatedBias accuracy = 	1981
	LayerUnmasked+CompensatedBias accuracy = 	4948
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_DOWN	 Mask: 00000101
	BaseLine accuracy = 	1096
	RangeCorrect accuracy = 	1096
	Unmasking layers accuracy = 	1003
	CompensatedBias accuracy = 	1048
	LayerUnmasked+CompensatedBias accuracy = 	1141
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_DOWN	 Mask: 00000110
	BaseLine accuracy = 	1000
	RangeCorrect accuracy = 	1000
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	1000
	LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_DOWN	 Mask: 00000111
	BaseLine accuracy = 	938
	RangeCorrect accuracy = 	945
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	886
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_DOWN	 Mask: 00001000
	BaseLine accuracy = 	1005
	RangeCorrect accuracy = 	1082
	Unmasking layers accuracy = 	1103
	CompensatedBias accuracy = 	1018
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	985
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_DOWN	 Mask: 00001001
	BaseLine accuracy = 	946
	RangeCorrect accuracy = 	952
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	875
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_DOWN	 Mask: 00001010
	BaseLine accuracy = 	942
	RangeCorrect accuracy = 	943
	Unmasking layers accuracy = 	1000
	CompensatedBias accuracy = 	878
	RangeCorrect+LayerUnmasked+CompensatedBias accuracy = 	1000
QuantMode: LinearQuantMode.ASYMMETRIC_UNSIGNED	 MaskMode: MaskType.ROUND_DOWN	 Mask: 00001011
	BaseLine accuracy = 	929
	RangeCorrect accuracy = 	937
