[1.71000000e+03 6.52676575e-01]	[49  0  0  0 22  0  5  0  1]
[742.           1.13265817]	[59 39 58 14 52 24 22  0 32]
[1.29500000e+03 6.52698738e-01]	[51  0  0  0 22  0  5  0  1]
[9.12000000e+02 7.39450137e-01]	[63 36 11  0 32  0  5  0 34]
[9.06000000e+02 8.28297928e-01]	[51 22 11 10 32  0  5  0 19]
[781.           0.96992128]	[59 39 58  0 32  4 22  0 18]
[1.12300000e+03 6.75738078e-01]	[50 10  0  0 22  0  5  0  1]
[1.22800000e+03 6.62264386e-01]	[63  0  0  0 32  0  5  0  1]
[751.           1.08626809]	[62 39 58 14 50  4 22  0 37]
[750.           1.12506882]	[59 39 55 14 51 24 22  0 34]
[8.83000000e+02 8.40937589e-01]	[63 36 11 14 33  0  5  0 26]
[1.25600000e+03 6.61987222e-01]	[51  0  0  0 32  0  5  0  1]
[804.           0.94041909]	[51 33 10  0 33  4 22  0 20]
[852.           0.90871763]	[59 29 10  0 22  4  5  0 34]
[1.00300000e+03 6.94158602e-01]	[63 39  0  0 32  0  5  0  9]
[754.           1.06695862]	[63 39 53 14 32  4 22  0 37]
[803.           0.96083374]	[63 39 58  0 22  4 22  0 55]
[860.           0.88871197]	[63 59 11 14 55  0 31  0 20]
[9.99000000e+02 7.14283365e-01]	[63 33  0  0 32  0 25  0  9]
[1.29000000e+03 6.52975902e-01]	[62  0  0  0 22  0  5  0  1]
[8.82000000e+02 8.64215419e-01]	[63 36 11 14 32  0 31  0 34]
[876.           0.88692131]	[63 39  0  0 22  4 22  0 55]
[9.74000000e+02 7.27120801e-01]	[63 22 11  0 22  0  5  0 17]
[8.78000000e+02 8.64935003e-01]	[59 38 11 14 32  0 31  0 32]
[9.84000000e+02 7.14307881e-01]	[63 33  0  0 33  0 25  0 17]
[1.04700000e+03 6.87317749e-01]	[58 12  0  0 33  0  5  0  8]
[8.96000000e+02 8.32416277e-01]	[63 38 11 10 32  0  5  0 15]
[841.           0.91202216]	[59 33 10  0 22  4 10  0 10]
[764.          1.0613376]	[53 39 56 10 32  4 22  0 27]
[799.           0.96923611]	[53 39 56  0 32  4 22  0 54]
[1.02300000e+03 6.89830278e-01]	[51 22  0  0 32  0  5  0  1]
[9.53000000e+02 7.31207307e-01]	[63  4 11  0 33  0  5  0 15]
[815.           0.93123703]	[59 33 10  0 22  4 22  0 10]
[9.32000000e+02 7.33396428e-01]	[58 12 11  0 32  0  5  0  8]
[832.           0.92122718]	[51 33 10  0 22  4 14  0 10]
[1.07500000e+03 6.80788104e-01]	[51 22  0  0 22  0  5  0 28]
[9.26000000e+02 7.36105519e-01]	[51 22 11  0 32  0  5  0  5]
[1.10400000e+03 6.80541794e-01]	[51 22  0  0 22  0  5  0  1]
[1.09400000e+03 6.80739975e-01]	[51 22  0  0 22  0  5  0  7]
[9.64000000e+02 7.30114689e-01]	[63 36 11  0 22  0  5  0 15]
[825.           0.92128904]	[51 33 10  0 22  4 14  0 32]
[1.01400000e+03 6.90306091e-01]	[63 22  0  0 32  0  5  0  9]
[1.11400000e+03 6.75915131e-01]	[50 10  0  0 22  0  5  0  3]
[1.23300000e+03 6.62185871e-01]	[50  0  0  0 32  0  5  0  9]
[1.06300000e+03 6.84870118e-01]	[63 39  0  0 22  0  5  0  9]
[748.          1.1295784]	[62 39 58 14 50 24 22  0 37]
[768.           1.04192786]	[51 33 10 14 33  4 22  0 20]
[9.03000000e+02 8.28306282e-01]	[51 22 11 10 32  0  5  0 20]
[818.           0.93051567]	[51 33 10  0 32  4 14  0 10]
[767.           1.06129991]	[51 39 56 10 32  4 22  0 27]
