QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01111100	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01111010	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01111001	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01111000	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110110	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110101	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110100	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110011	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110010	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110001	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01110000	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101110	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101101	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101100	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101011	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101010	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101001	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01101000	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100111	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100110	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100101	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100100	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100011	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100010	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100001	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01100000	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01011110	 Correct: 1000	 Accuracy: 0.1
QuantMode: LinearQuantMode.SYMMETRIC	 MaskMode: MaskType.SIMPLE_MASK	 Mask: 01011101	 Correct: 1000	 Accuracy: 0.1
