Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 0 [0/50000 (0%)]	Loss: 2.614400	Accuracy: 0.06
Train Epoch: 0 [2500/50000 (5%)]	Loss: 2.291888	Accuracy: 0.14
Train Epoch: 0 [5000/50000 (10%)]	Loss: 2.302278	Accuracy: 0.08
Train Epoch: 0 [7500/50000 (15%)]	Loss: 2.211714	Accuracy: 0.2
Train Epoch: 0 [10000/50000 (20%)]	Loss: 2.196796	Accuracy: 0.16
Train Epoch: 0 [12500/50000 (25%)]	Loss: 2.086599	Accuracy: 0.14
Train Epoch: 0 [15000/50000 (30%)]	Loss: 1.988912	Accuracy: 0.38
Train Epoch: 0 [17500/50000 (35%)]	Loss: 2.051902	Accuracy: 0.24
Train Epoch: 0 [20000/50000 (40%)]	Loss: 1.954019	Accuracy: 0.22
Train Epoch: 0 [22500/50000 (45%)]	Loss: 1.975168	Accuracy: 0.32
Train Epoch: 0 [25000/50000 (50%)]	Loss: 1.956364	Accuracy: 0.26
Train Epoch: 0 [27500/50000 (55%)]	Loss: 1.911030	Accuracy: 0.26
Train Epoch: 0 [30000/50000 (60%)]	Loss: 1.781536	Accuracy: 0.28
Train Epoch: 0 [32500/50000 (65%)]	Loss: 2.048626	Accuracy: 0.28
Train Epoch: 0 [35000/50000 (70%)]	Loss: 1.922467	Accuracy: 0.28
Train Epoch: 0 [37500/50000 (75%)]	Loss: 1.876739	Accuracy: 0.2
Train Epoch: 0 [40000/50000 (80%)]	Loss: 1.717753	Accuracy: 0.36
Train Epoch: 0 [42500/50000 (85%)]	Loss: 1.976788	Accuracy: 0.28
Train Epoch: 0 [45000/50000 (90%)]	Loss: 1.757457	Accuracy: 0.28
Train Epoch: 0 [47500/50000 (95%)]	Loss: 1.695600	Accuracy: 0.34

Test set: Epoch: 0 Average loss: 1.5338, Accuracy: 3282/10000 (33%)

Best acc:32.82

Train Epoch: 1 [0/50000 (0%)]	Loss: 1.810652	Accuracy: 0.36
Train Epoch: 1 [2500/50000 (5%)]	Loss: 1.616458	Accuracy: 0.36
Train Epoch: 1 [5000/50000 (10%)]	Loss: 1.728230	Accuracy: 0.36
Train Epoch: 1 [7500/50000 (15%)]	Loss: 1.573913	Accuracy: 0.36
