Slack, Startpoint Pin Name, Endpoint Pin Name, Path Group, Endpoint Clock Skew, Arrival, Required, Startpoint Clock Name, Endpoint Clock Name
1.92961, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06492, 4.99453, clock, clock
1.92986, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06468, 4.99453, clock, clock
1.93048, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06406, 4.99453, clock, clock
1.93072, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06381, 4.99453, clock, clock
1.93133, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06320, 4.99453, clock, clock
1.93137, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06316, 4.99453, clock, clock
1.93137, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06316, 4.99453, clock, clock
1.93158, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06296, 4.99453, clock, clock
1.93161, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06292, 4.99453, clock, clock
1.93161, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06292, 4.99453, clock, clock
1.93220, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06234, 4.99453, clock, clock
1.93223, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06230, 4.99453, clock, clock
1.93223, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06230, 4.99453, clock, clock
1.93235, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06218, 4.99453, clock, clock
1.93235, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06218, 4.99453, clock, clock
1.93235, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06218, 4.99453, clock, clock
1.93235, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06218, 4.99453, clock, clock
1.93235, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06218, 4.99453, clock, clock
1.93235, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06218, 4.99453, clock, clock
1.93235, weightRegister/temp_reg[0]/CK, outPartialSumRegister/temp_reg[31]/D, clock, 0.00000, 3.06218, 4.99453, clock, clock
